instrument_id,name,industry,snapshot_industry,close,change_pct,close_position,volume_multiple,turnover_pct,float_cap_100m,amount_100m,breakout_distance_pct,prior14_high,day_high,day_low,five_day_return_pct,ma5,last_event,last_event_age,last_event_multiple,anchor_date,anchor_low,anchor_margin_pct,events,reset_count,min_post_anchor_close,contraction_days,current_vs_anchor_close_pct,sector_positive_ratio,sector_peer_count,screen_rank,research_score,points,date,quality,flags,close_below_high_pct,last_hour_return,return_at1000,vwap_available,above_vwap_fraction,close_vs_vwap_pct,minute_daily_volume_ratio
603407.SH,长裕集团,小金属,其他小金属,57.88,6.612635844538595,0.7407407407407409,2.779746545260909,24.2839,20.7858656,4.96356228,-2.3946037099494055,59.3,59.28,53.88,7.5636498792045925,53.696,2026-09-16,0,2.779746545260909,2026-09-16,53.88,7.4239049740163265,1,0,,0,0.0,0.875,16,12,78.746605546187,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-2.361673414304988,-0.5839917554104956,3.8865352735310665,147,0.9591836734693877,,0.9999981653093013
001306.SZ,夏厦精密,通用设备,金属制品,53.95,3.690178743032879,0.4657980456026063,4.902212479330703,12.0729,8.36225,1.0167475889,-4.984149348362099,56.78,57.23,51.09,-0.9546539379474583,52.730000000000004,2026-09-16,0,4.902212479330703,2026-09-16,51.09,5.597964376590325,1,0,,0,0.0,0.8780487804878049,82,1,74.26813467701213,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-5.731259828761126,1.7924528301886067,-1.1147414952911716,46,0.5652173913043478,,1.0
603663.SH,三祥新材,非金属材料,无机盐,44.85,3.269629288510245,0.7902621722846456,0.7350216894835194,4.0053,266.03535465,10.54744504,-1.9243385086376463,45.73,45.41,42.74,6.963987598378241,43.324,2026-09-09,5,2.6289437290361115,2026-09-09,39.32,14.064089521871814,1,0,41.54,5,6.963987598378263,0.6,10,145,59.47431075405741,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-1.2332085443734764,0.08926578888652781,1.7959935528436333,51,0.8235294117647058,,0.999998568911178
600505.SH,西昌电力,电力,电能综合服务,11.15,3.049907578558231,0.586666666666666,1.2633660301964116,5.5056,40.64927625,2.24757197,-2.959094865100087,11.49,11.46,10.71,3.6245353159851224,11.068,2026-09-10,4,5.743481902962648,2026-09-10,10.68,4.400749063670428,1,0,10.82,4,-2.1071115013169495,0.75,16,121,68.71374810330992,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-2.7050610820244403,0.0,4.436229205175546,105,0.3904761904761905,,1.0000000498213928
603267.SH,鸿远电子,军工电子,军工电子Ⅲ,51.59,2.5850069596341285,0.698324022346369,1.3368521817128571,5.2263,119.21463631,6.20356945,0.4282655246252709,51.37,52.13,50.34,7.838628762541799,50.026,2026-09-14,2,2.0199527143510583,2026-09-11,46.92,9.953111679454384,2,0,50.29,2,2.7689243027888555,0.9672131147540983,61,67,77.32293396808606,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-1.0358718588144966,-0.21276595744655902,1.968582223105897,0,,,1.0000027324741385
603331.SH,百达精工,通用设备,其他通用设备,13.05,2.352941176470602,0.5212765957446813,0.9916366389368074,3.0929,26.3839158,0.82094822,-6.7190850607576795,13.99,13.5,12.56,-5.912040374909877,13.110000000000001,2026-09-08,6,3.832004346480254,2026-09-08,12.55,3.984063745019917,1,0,12.75,6,-4.044117647058821,0.8235294117647058,51,152,52.00317593005389,241,2026-09-16,accepted,[],-3.3333333333333326,-0.30557677616501744,1.5686274509803422,241,0.6887966804979253,-0.5991449740886168,1.0
603212.SH,赛伍技术,光伏设备,光伏辅材,11.51,1.8584070796460184,0.8888888888888867,0.8363755029903822,1.3939,50.35516806,0.6971619,-4.083333333333339,12.0,11.55,11.19,-1.2017167381974114,11.498000000000001,2026-09-08,6,2.2035705902532436,2026-09-08,11.12,3.507194244604328,1,0,11.3,6,-1.6239316239316182,0.85,20,162,56.95782543719999,241,2026-09-16,accepted,[],-0.34632034632035014,0.08695652173915658,-0.3539823008849585,241,0.91701244813278,0.6816824040441594,1.0
603489.SH,八方股份,电机,电机Ⅲ,28.28,1.2893982808023008,0.7247706422018374,0.8778547694979212,0.8964,66.3499704,0.5898841,-2.2805805114029076,28.94,28.58,27.49,1.5804597701149392,27.814,2026-09-14,2,2.1273262048944552,2026-09-14,26.62,6.235912847483105,1,0,27.92,2,-1.6689847009735748,0.8571428571428571,28,80,59.67862366303569,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-1.049685094471653,-0.1059696220417905,-1.4684813753581438,183,0.6502732240437158,,0.99998858786205
002916.SZ,深南电路,元件,印制电路板,392.5,0.7133326490813774,0.4974905897114183,0.9289907229939046,1.1236,2610.20821,29.2775072427,-2.966625463535233,404.5,400.51,384.57,2.4002087138011996,392.068,2026-09-08,6,2.188353276099759,2026-09-08,370.01,6.078214102321566,1,0,383.3,6,2.614379084967311,0.8541666666666666,48,163,43.72850010904501,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-1.9999500636688206,0.20423793719681615,-0.728728317766536,168,0.7976190476190477,,0.9999977249359201
600348.SH,华阳股份,煤炭开采加工,焦煤,9.18,0.21834061135370675,0.9285714285714299,0.7661246239651052,0.8945,331.1685,2.92587243,-4.175365344467641,9.58,9.2,8.92,-3.874345549738245,9.166,2026-09-09,5,2.8036870373405933,2026-09-09,8.87,3.4949267192784683,1,0,8.98,5,-3.874345549738234,0.18181818181818182,11,142,38.18370555927636,241,2026-09-16,degraded,"['amount_partial', 'cumulative_average_partial']",-0.21739130434782483,-0.10881392818278268,-1.8558951965065296,57,0.12280701754385964,,1.000000309893121
000690.SZ,宝新能源,电力,火力发电,5.25,-0.1901140684410607,0.5555555555555545,0.477467632759588,1.9862,114.1595805,2.2624208406,-3.669724770642202,5.45,5.29,5.2,-2.957486136783738,5.26,2026-09-09,5,2.9944804082276537,2026-09-09,5.09,3.143418467583503,1,0,5.25,5,-2.957486136783738,0.41379310344827586,29,141,47.22791340159386,241,2026-09-16,accepted,[],-0.7561436672967825,-0.1901140684410385,-0.5703422053231932,241,0.7261410788381742,0.223396076861615,1.0000006251451001
003029.SZ,吉大正元,软件开发,垂直应用软件,17.43,-4.858078602620086,0.09090909090908895,0.8416882050814941,5.8817,30.6041169,1.8133563341999999,-9.45454545454546,19.25,18.03,17.37,-0.28604118993132976,18.034,2026-09-10,4,6.379548386416157,2026-09-10,17.22,1.2195121951219523,1,0,17.43,4,-4.909983633387882,0.7821782178217822,101,120,44.712964688475914,241,2026-09-16,accepted,[],-3.327787021630624,0.05740528128610478,-4.858078602620286,241,0.04149377593360996,-0.7348458738463459,0.9999999031683415
