instrument_id,name,industry,snapshot_industry,close,change_pct,close_position,volume_multiple,turnover_pct,float_cap_100m,amount_100m,breakout_distance_pct,prior14_high,day_high,day_low,five_day_return_pct,ma5,last_event,last_event_age,last_event_multiple,anchor_date,anchor_low,anchor_margin_pct,events,reset_count,min_post_anchor_close,contraction_days,current_vs_anchor_close_pct,sector_positive_ratio,sector_peer_count,screen_rank,research_score,score_components
003006.SZ,百亚股份,美容护理,生活用纸,19.42,6.820682068206829,0.9809523809523814,1.3975444274598676,13.8849,83.22887659999999,11.329790159199998,-3.3349925335987907,20.09,19.44,18.39,16.566626650660265,18.42,2026-09-09,5,3.140124464443059,2026-09-09,15.78,23.067173637515847,1,0,17.1,1,16.566626650660265,0.75,8,140,70.13757351099639,"{'close_strength': 14.71428571428572, 'breakout_proximity': 6.997511199601814, 'recent_signal': 2.8571428571428568, 'price_momentum': 10, 'active_volume': 4.487722137299338, 'industry_breadth': 7.5, 'turnover': 7.410066666666667, 'float_cap': 8.670844936, 'liquidity': 5, 'controlled_5d_move': 2.5}"
002753.SZ,永东股份,橡胶制品,炭黑,6.78,3.1963470319634757,0.22807017543859653,2.4160564481016635,8.3964,20.05448742,1.7103544472,-5.833333333333335,7.2,7.22,6.65,-3.693181818181801,6.7620000000000005,2026-09-16,0,2.4160564481016635,2026-09-16,6.65,1.9548872180451093,1,2,,0,0.0,1.0,5,21,70.0211327100264,"{'close_strength': 3.421052631578948, 'breakout_proximity': 3.249999999999998, 'recent_signal': 10.0, 'price_momentum': 6.993911719939127, 'active_volume': 9.580282240508318, 'industry_breadth': 10.0, 'turnover': 10, 'float_cap': 10, 'liquidity': 4.275886118, 'controlled_5d_move': 2.5}"
002169.SZ,智光电气,电网设备,电网自动化设备,12.92,1.1746280344557603,0.8695652173913035,1.451207462246251,3.1281,98.3113808,3.0498363841000002,-5.347985347985351,13.65,12.98,12.52,4.025764895330108,12.452,2026-09-15,1,2.6984418120619496,2026-09-15,12.33,4.785077047850761,1,0,12.92,1,1.1746280344557603,0.7586206896551724,29,38,69.62709784352934,"{'close_strength': 13.043478260869554, 'breakout_proximity': 3.978021978021973, 'recent_signal': 8.571428571428573, 'price_momentum': 3.624380057426267, 'active_volume': 4.756037311231255, 'industry_breadth': 7.586206896551724, 'turnover': 10, 'float_cap': 8.067544768, 'liquidity': 5, 'controlled_5d_move': 5}"
002106.SZ,莱宝高科,光学光电子,面板,11.45,0.7036059806508455,0.794871794871794,0.8474842885796702,3.5537,80.7220191,2.8431232769,-2.9661016949152685,11.8,11.53,11.14,3.1531531531531876,11.27,2026-09-14,2,2.1816415591596203,2026-09-14,11.05,3.6199095022624306,1,0,11.37,2,-1.1226252158894723,0.9487179487179487,39,78,69.45184499072373,"{'close_strength': 11.923076923076911, 'breakout_proximity': 7.550847457627098, 'recent_signal': 7.142857142857143, 'price_momentum': 2.8393433010847424, 'active_volume': 1.7374214428983508, 'industry_breadth': 9.487179487179487, 'turnover': 10, 'float_cap': 8.771119236, 'liquidity': 5, 'controlled_5d_move': 5}"
603678.SH,火炬电子,军工电子,军工电子Ⅲ,51.02,3.6359943124111505,0.7089552238805992,1.0847559116232655,6.5406,242.63407932,15.80344317,-1.0281280310378116,51.55,51.8,49.12,11.082081428260416,49.284,2026-09-11,3,2.5101098823804446,2026-09-11,45.8,11.397379912663762,1,0,49.23,3,2.655935613682092,0.9672131147540983,61,103,69.42362674614722,"{'close_strength': 10.634328358208988, 'breakout_proximity': 10.457807953443282, 'recent_signal': 5.7142857142857135, 'price_momentum': 7.726657187351917, 'active_volume': 2.923779558116327, 'industry_breadth': 9.672131147540984, 'turnover': 10, 'float_cap': 2.2946368271999997, 'liquidity': 5, 'controlled_5d_move': 5}"
603496.SH,恒为科技,计算机设备,其他计算机设备,22.96,-0.1304915180513122,1.0,1.2478837702943457,2.7377,73.52003232,1.98177098,-5.358615004122013,24.26,22.96,22.21,0.3058103975535076,22.55,2026-09-15,1,2.256140245003057,2026-09-15,22.7,1.1453744493392204,1,0,22.96,1,-0.1304915180513122,0.8548387096774194,62,48,69.40978564060596,"{'close_strength': 15.0, 'breakout_proximity': 3.96207749381698, 'recent_signal': 8.571428571428573, 'price_momentum': 1.4491808032478128, 'active_volume': 3.7394188514717284, 'industry_breadth': 8.548387096774194, 'turnover': 9.125666666666666, 'float_cap': 9.0591987072, 'liquidity': 4.95442745, 'controlled_5d_move': 5}"
600505.SH,西昌电力,电力,电能综合服务,11.15,3.049907578558231,0.586666666666666,1.2633660301964116,5.5056,40.64927625,2.24757197,-2.959094865100087,11.49,11.46,10.71,3.6245353159851224,11.068,2026-09-10,4,5.743481902962648,2026-09-10,10.68,4.400749063670428,1,0,10.82,4,-2.1071115013169495,0.75,16,121,68.71374810330992,"{'close_strength': 8.79999999999999, 'breakout_proximity': 7.56135770234987, 'recent_signal': 4.2857142857142865, 'price_momentum': 6.749845964263717, 'active_volume': 3.816830150982058, 'industry_breadth': 7.5, 'turnover': 10, 'float_cap': 10, 'liquidity': 5, 'controlled_5d_move': 5}"
600579.SH,中化装备,专用设备,其他专用设备,7.19,-1.5068493150684814,0.5777777777777791,2.1496408303318923,3.2557,35.48989752,1.14489233,-3.748326639892896,7.47,7.38,6.93,-0.9641873278236734,7.178,2026-09-15,1,2.574119923771875,2026-09-08,6.93,3.751803751803773,2,0,7.1,4,-0.2773925104022079,0.8695652173913043,92,37,68.42169242882841,"{'close_strength': 8.666666666666686, 'breakout_proximity': 6.377510040160655, 'recent_signal': 8.571428571428573, 'price_momentum': 0, 'active_volume': 8.248204151659461, 'industry_breadth': 8.695652173913043, 'turnover': 10, 'float_cap': 10, 'liquidity': 2.862230825, 'controlled_5d_move': 5}"
603131.SH,上海沪工,通用设备,其他通用设备,13.8,2.9850746268656803,0.43010752688172094,2.4394460967442106,3.3401,46.4931936,1.55253819,-7.444668008048283,14.91,14.33,13.4,-3.8327526132403977,13.81,2026-09-16,0,2.4394460967442106,2026-09-16,13.4,2.9850746268656803,1,0,,0,0.0,0.8235294117647058,51,18,68.24027201229764,"{'close_strength': 6.451612903225814, 'breakout_proximity': 0.8329979879275755, 'recent_signal': 10.0, 'price_momentum': 6.641791044776134, 'active_volume': 9.697230483721054, 'industry_breadth': 8.235294117647058, 'turnover': 10, 'float_cap': 10, 'liquidity': 3.881345475, 'controlled_5d_move': 2.5}"
002866.SZ,传艺科技,消费电子,消费电子零部件及组装,14.63,1.1756569847856113,0.8260869565217392,1.0693226717223514,2.8482,26.88539007,0.7599543243000001,-3.6231884057970953,15.18,14.71,14.25,2.093510118632236,14.326,2026-09-14,2,2.332710646786822,2026-09-14,13.85,5.6317689530686055,1,0,14.46,2,1.3157894736842257,0.9213483146067416,89,73,68.17945617205945,"{'close_strength': 12.39130434782609, 'breakout_proximity': 6.5652173913043566, 'recent_signal': 7.142857142857143, 'price_momentum': 3.626094974642686, 'active_volume': 2.846613358611757, 'industry_breadth': 9.213483146067416, 'turnover': 9.494, 'float_cap': 10, 'liquidity': 1.8998858107500003, 'controlled_5d_move': 5}"
