instrument_id,name,first_selection,first_limit,selection_to_limit,original_event,event_to_limit,event_multiple,event_change_pct,event_bullish_body,event_close_position,event_upper_shadow,signal_close_above_event_low,prior_close_above_ma5,prior_close_above_ma10,prior_day_change_pct,prior_day_volume_multiple,prior_5d_return_pct,between_days,contraction_days,negative_days,low_volume_negative_days,min_close_since_event_pct,held_event_low_on_close,held_event_body_mid_on_close,prior_close_above_event_close,limit_open_gap_pct,limit_day_low_pct,limit_volume_multiple,limit_breakout_10d,price_adjustment_gaps,first_sealed_at,open_count,limit_up_type,board_count,reason
002442.SZ,龙星科技,2026-09-09,2026-09-16,5,2026-09-09,5,3.481043129822618,3.724394785847296,True,0.8888888888888911,0.11111111111110891,True,False,False,-3.1894934333958735,0.6608248972339186,-3.9106145251396662,4,4,3,3,-7.360861759425497,False,False,False,10.077519379844958,10.077519379844958,1.396717272208948,True,[],09:25:00,0,一字板,1,炭黑+行业龙头+绿色低碳
002913.SZ,奥士康,2026-09-09,2026-09-16,5,2026-09-09,5,3.4607460758980206,9.927435541145613,True,0.9924924924924929,0.007507507507507084,True,True,True,-1.2934413378625664,0.8712277424309278,16.643507796819513,4,4,2,2,-0.29494382022473564,True,True,True,2.1178027796161514,0.8603573792190788,0.6333925903703107,True,[],11:25:57,0,换手板,1,高端PCB+AI服务器+全球制造
002661.SZ,克明食品,2026-09-09,2026-09-10,1,2026-09-09,1,3.1434610583152436,0.5760368663594528,True,0.3974358974358984,0.6025641025641016,True,True,True,0.5760368663594528,3.1434610583152436,9.811320754716979,0,0,0,0,0,True,True,True,1.0309278350515427,-2.5200458190148933,3.7853687772686953,True,[],09:40:57,4,换手板,1,挂面主业+冷冻面+生猪产能
600488.SH,津药药业,2026-09-09,2026-09-10,1,2026-09-09,1,2.905741020537981,0.9416195856873921,True,0.4285714285714301,0.57142857142857,True,True,False,0.9416195856873921,2.905741020537981,0.7518796992481036,0,0,0,0,0,True,True,True,10.074626865671643,5.970149253731338,4.362429797871311,False,[],09:25:03,7,T字板,1,甾体激素+海外注册+集采中选
603285.SH,键邦股份,2026-09-09,2026-09-14,3,2026-09-09,3,2.7759608267523594,6.917437041759644,True,0.7069486404833839,0.2930513595166161,True,True,True,5.651397977394423,1.7986507434226424,13.013044861597178,2,2,0,0,0.23852116875371365,True,True,True,1.3231981981981944,0.929054054054057,1.4825172722293738,True,[],13:25:24,0,换手板,1,完成收购+电子产业链+环保助剂
002617.SZ,露笑科技,2026-09-09,2026-09-16,5,2026-09-09,5,2.3961557939574356,3.6682615629984205,True,0.931034482758622,0.06896551724137805,True,False,True,-2.8919330289193357,0.6946711916524813,1.7543859649123306,4,3,3,3,-2.3076923076923106,True,False,False,0.9404388714733702,0.31347962382446415,0.8131981581415076,True,[],09:34:06,0,换手板,1,碳化硅衬底+半导体材料+大尺寸拓展
605011.SH,杭州热电,2026-09-09,2026-09-11,2,2026-09-09,2,2.353552776602444,2.934272300469476,True,0.4961832061068696,0.5038167938931304,True,True,True,-1.36830102622576,1.8210546467868582,2.185469580626087,1,1,1,1,-1.36830102622576,True,True,False,0.3468208092485492,-2.485549132947973,2.8141461032277215,True,[],09:55:17,0,换手板,1,热电联产+绿色能源+产业基金
600744.SH,华银电力,2026-09-09,2026-09-10,1,2026-09-09,1,2.2971750226529033,1.5974440894568787,True,0.6799999999999997,0.3200000000000003,True,True,True,1.5974440894568787,2.2971750226529033,2.0866773675762174,0,0,0,0,0,True,True,True,-0.9433962264151052,-1.2578616352201255,3.804000661149696,True,[],10:09:47,0,换手板,1,电力+新能源+央企
603316.SH,诚邦股份,2026-09-09,2026-09-10,1,2026-09-08,2,4.805616427381275,7.658321060382911,True,0.7746478873239434,0.22535211267605654,True,True,True,-2.2571819425444617,2.5529163551399976,4.382761139517899,1,1,1,1,-2.2571819425444617,True,True,False,-0.8397480755773179,-1.3296011196640922,1.3708144641892608,True,[],09:41:50,2,换手板,1,半导体存储+业绩增长+芯片扩产
600667.SH,太极实业,2026-09-09,2026-09-10,1,2026-09-08,2,2.200586954742886,3.5077951002227215,True,0.603896103896104,0.39610389610389596,True,True,False,-2.3130715438407723,1.1261740565777516,-0.3839824465167174,1,1,1,1,-2.3130715438407723,True,False,False,0.6057268722466924,0.6057268722466924,1.035720239994172,False,[],09:36:22,0,换手板,1,SK海力士+存储芯片+半导体封测
